Id,SalePrice
2658,181442.59914578366
2718,231334.56255701004
2414,185230.00406080452
1989,133168.09040101297
625,182828.98067231977
333,77951.1469458657
1327,106945.34087026521
858,153097.78324174217
95,209385.4525668947
1568,182710.21058027574
2482,174056.66530031897
1364,152844.81366919872
2584,172113.5685817666
818,297493.33500585926
2673,175689.00867309995
2089,99220.78235021394
1297,167058.14658188578
790,118283.10192959316
2616,221170.9633477137
720,223575.22025828273
222,153879.59667748673
557,133820.4161141421
1148,215475.56229862582
2766,147522.4709441188
534,209089.43712989768
1452,104653.3782287434
630,136366.76226406553
2648,137764.7989748427
125,145045.81860448132
1904,9323.35706341709
1670,100409.65113252378
756,82679.16282853694
717,290820.2122655341
1032,159795.98041566223
852,231641.73225144253
1731,183341.26704052044
2639,130831.76323561708
2071,47581.0985726261
1267,91592.81166026967
1851,229646.6670794742
567,162211.45588360823
2439,213171.25299318196
1898,160381.79031947642
647,160179.56581736618
2256,228835.663655494
979,89454.68871878105
1444,215224.69814162157
2485,122909.09576809625
157,119663.35776238711
88,116137.97126180596
2003,108134.74155587681
186,233967.53233914243
1425,281150.6421642667
2695,134381.34213723676
738,89434.95322280956
395,166170.2908237701
1353,188102.4931896303
1878,162176.641128436
390,184229.21807507385
1456,239619.88752377674
1103,316753.16732946475
1387,133067.79266663315
2070,140846.0194052717
1199,184879.6289255392
2479,173942.01076291563
501,317432.7681681657
2362,67613.09928683659
1718,199331.66988418385
2188,42076.36211784513
1483,144420.57746404863
2557,68669.96928062392
437,321475.05751839385
2224,200769.92458769825
1628,166792.83034542028
397,121022.46416335137
587,211833.51112153984
2182,560659.9408475196
971,118352.10426019813
2611,165346.75018299243
1887,56565.47404475213
2399,313835.9635475102
2148,230568.11420977933
304,141128.71086935257
1997,132659.4186606474
2817,129545.58416702304
1431,197438.7220328214
427,342870.37546464696
263,112133.2935619703
598,170835.71589889165
2895,283652.1783846237
687,162588.72503869457
1822,130289.09447269418
2191,114921.3907270602
179,145502.52189143092
1009,222991.51577000774
2010,121139.31939273162
1991,147687.0837958366
1411,166806.65524514206
1721,265058.8134796785
1144,188109.69146880432
593,219314.14891094394
575,298728.8642804578
1249,180160.53563183034
1604,125938.25246867159
1064,400654.7747462228
1923,155994.6553244819
1988,93252.23960574706
2325,169828.89949585652
114,211508.30569630716
2700,241690.5816468978
217,162337.82990519414
343,192547.91288465838
386,248370.7430900177
2005,83238.07871253013
2908,131058.37069164128
1814,240664.31557720428
2446,435884.1463109752
208,166535.80951817767
1679,117924.59096148418
822,315409.92694381997
6,196461.00034158418
1781,360830.70474674227
2397,269613.8901249128
2340,293122.3518554973
1618,164018.8439093653
2843,129764.27088769604
1061,333734.45626090234
2786,101584.69501511184
1935,126359.44952076796
1341,116459.15640883565
521,305532.6028499434
2136,128025.00315998754
996,186631.6244229206
227,141073.1277881015
135,169662.18122859948
1167,166570.52899691218
294,238606.6595976863
1776,226158.98750572317
540,206633.64839277675
1717,199331.66988418385
2303,115666.91117183282
116,190844.8428714841
127,146109.88687744268
1371,152309.05735613673
1014,189508.32438282477
1507,67099.62051214934
702,156812.57119832296
750,178757.50133385605
261,141810.41712359275
1559,59280.45332459637
577,251292.06242661286
2812,209193.65986604276
2080,176380.95617572297
1368,138971.1382612056
2376,116782.16114209143
659,118783.63783711508
1235,116479.8294584768
332,63508.31440549655
1917,138856.48372380226
2094,257817.2250866583
1460,278175.74988552195
1471,209023.42224738834
1509,119181.770594718
1922,149393.33180998196
433,424314.08872874494
460,271393.5020982924
1116,273239.19325412286
1137,174004.6015704653
53,196881.4106375618
2354,250679.26322653994
1475,217824.3314043815
1761,490209.42882729624
842,134333.39396202375
2739,220396.06236183003
2509,169953.29435483713
1007,205795.56039610013
2610,175395.0033752044
1952,74475.12255635575
2719,223279.2691212272
2921,78372.24872152436
1966,135181.72320708324
292,127122.21894022202
1204,202005.45386229677
1829,253372.68742418662
2419,190120.7179325298
391,163539.26688079763
798,116712.56260824316
481,186341.13847642246
193,222792.1834395554
555,115773.14404707938
899,29759.71150541035
2357,191162.94529398048
328,116381.92296894931
1356,126850.68173357664
1154,97725.87198001667
1730,167906.8569326961
2249,135174.81075722235
1119,266795.37958860444
2856,132252.6736880123
1394,142155.1674919215
2587,101213.55155376767
61,324328.9790131176
2661,252136.4666699071
2711,129539.79982370723
1147,188211.8087894102
757,145992.43544481913
2623,49067.49200422887
2378,159809.74101544247
1413,150086.78852490088
1722,237680.40543305944
1112,210149.19929534293
1623,196998.86207018537
1201,187225.66543601616
1513,116113.87413720513
957,265449.21605480555
1171,275906.8515384936
1145,211576.42599435573
2726,249205.2164588592
703,159984.18946517527
760,61581.96573482003
1964,129676.19999618357
2512,181861.09457909755
159,171290.21849386435
